Model Name	LiteLLM Internal Name	Provider	Platform	Input	Output	Specialties/Benefits	Available in LibreChat	Notes
Jamba 1.5 Large	ai21-jamba-1.5-large	AI21 Labs	Amazon Bedrock	text	text	instruction following	y	
Jamba 1.5 Mini	ai21-jamba-1.5-mini	AI21 Labs	Amazon Bedrock	text	text	instruction following	y	
Nova 2 Lite	amazon-nova-2-lite	Amazon	Amazon Bedrock	"text, image, video"	text	multimodal	y	
Nova Pro	amazon-nova-pro	Amazon	Amazon Bedrock	"text, image, video"	text	"agents, code, math, RAG"	y	
Nova Lite	amazon-nova-lite	Amazon	Amazon Bedrock	"text, image, video"	text	"agents, math, RAG"	y	
Nova Micro	amazon-nova-micro	Amazon	Amazon Bedrock	text	text	"agents, math, RAG"	y	
Claude Sonnet 4.6 	claude-4.6-sonnet	Anthropic	Amazon Bedrock	"text, image"	text	"agents, code, research, reasoning, computer use, tools"	y	
Claude Opus 4.6	claude-4.6-opus	Anthropic	Amazon Bedrock	"text, image"	text	"agents, code, research, reasoning, computer use, tools"	y	
Claude Opus 4.5	claude-4.5-opus	Anthropic	Amazon Bedrock	"text, image"	text	"agents, code, research, reasoning, computer use, tools"	y	
Claude Haiku 4.5 	claude-4.5-haiku	Anthropic	Amazon Bedrock	"text, image"	text	"agents, code, research, reasoning, computer use, tools"	y	
Claude Sonnet 4.5	claude-4.5-sonnet	Anthropic	Amazon Bedrock	"text, image"	text	"agents, code, research, reasoning, computer use, tools"	y	
Claude Opus 4.1	claude-4.1-opus	Anthropic	Amazon Bedrock	"text, image"	text	"agents, code, research, reasoning, computer use, tools"	y	
Llama 4 Scout 17B Instruct	llama4-scout-17b-instruct	Meta AI	Amazon Bedrock	"text, image"	text	"fine tuning, code, tools, assistants, summarization"	y	
Llama 4 Maverick 17B Instruct	llama4-maverick-17b-instruct	Meta AI	Amazon Bedrock	"text, image"	text	"fine tuning, code, tools, assistants, summarization"	y	
Llama 3.3 70B	llama3-3-70b	Meta AI	Amazon Bedrock	text	text	"code, tools, reasoning"	y	
Llama 3.1 70B Instruct	llama3-1-70b	Meta AI	Amazon Bedrock	text	text	"reasoning, follow instructions "	y	
Llama 3.1 8B Instruct	llama3-1-8b	Meta AI	Amazon Bedrock	text	text	follow instructions	y	
Llama3 70B Instruct	llama3-70b	Meta AI	Amazon Bedrock	text	text	"code, follow instructions, summarization, sentiment analysis"	y	
Llama3 8B Instruct	llama3-8b	Meta AI	Amazon Bedrock	text	text	"summarization, sentiment analysis"	y	
Devstral 2 123B	devstral-2-123b	Mistral AI	Amazon Bedrock	text	text	"agents, advanced code"	y	
Mistral Large 3	mistral-large-3	Mistral AI	Amazon Bedrock	"text, image"	text	code	y	
Mistral Large (24.02)	mistral-large	Mistral AI	Amazon Bedrock	text	text	"agents, code, RAG, reasoning"	y	
Mistral 7B Instruct	mistral-7b-instruct	Mistral AI	Amazon Bedrock	text	text	code	y	
Claude Opus 4.7	claude-4.7-opus	Anthropic	Amazon Bedrock	"text, image"	text	"reasoning, code, agents, research, computer use, tools, adaptive thinking"	y	
GPT 5.4 Pro	azure-gpt-5.4-pro	OpenAI	Azure OpenAI	"text, image"	text	"agents, reasoning, computer use, tools, code"	y	
GPT 5.4 Mini	azure-gpt-5.4-mini	OpenAI	Azure OpenAI	"text, image"	text	"agents, reasoning, computer use, tools, code"	y	
GPT 5.4 Nano	azure-gpt-5.4-nano	OpenAI	Azure OpenAI	"text, image"	text	"agents, reasoning, computer use, tools, code"	y	
GPT 5.3 Codex	azure-gpt-5.3-codex	OpenAI	Azure OpenAI	"text, image"	text	"reasoning, advanced code"	y	
GPT 5.4	azure-gpt-5.4	OpenAI	Azure OpenAI	"text, image"	text	"agents, reasoning, computer use, tools, code"	y	
GPT 5.3 Chat	azure-gpt-5.3-chat	OpenAI	Azure OpenAI	"text, image"	text	"agents, reasoning, instruction-following"	y	
GPT 5.2 Chat	azure-gpt-5.2-chat	OpenAI	Azure OpenAI	"text, image"	text	"agents, reasoning, instruction-following"	y	
GPT 5.2	azure-gpt-5.2	OpenAI	Azure OpenAI	"text, image"	text	"agents, reasoning"	y	
GPT 5.1	azure-gpt-5.1	OpenAI	Azure OpenAI	"text, image"	text	"agents, reasoning"	y	
GPT 5	azure-gpt-5	OpenAI	Azure OpenAI	"text, image"	text	"reasoning, tools"	y	
GPT 5 Mini	azure-gpt-5-mini	OpenAI	Azure OpenAI	"text, image"	text	"reasoning, tools"	y	
GPT 5 Nano	azure-gpt-5-nano	OpenAI	Azure OpenAI	"text, image"	text	"reasoning, tools"	y	
GPT 5 Chat	azure-gpt-5-chat	OpenAI	Azure OpenAI	"text, image"	text	"tools, emotional sensitivity"	y	
o4 Mini	azure-o4-mini	OpenAI	Azure OpenAI	"text, image"	text	"responses & chat-completions APIs, reasoning summary, tools"	y	
o3	azure-o3	OpenAI	Azure OpenAI	"text, image"	text	"responses & chat-completions APIs, reasoning summary, tools"	y	
